ID;Name;gnd_id;cc_id
P18881;Ignatius von Antiochien;118555340;
P19930;Polycarpus Smyrnäus;11859558X;
P19894;Athenagoras Atheniensis;118646141;
P21365;Theophilus Antiochenus;118756923;
P18056;Irenäus von Lyon;118555766;
P17746;Quintus Septimius Florens Tertullian;118621386;867
P18512;Hippolyt von Rom;118551418;
P18513;Hippolytos von Rom;118551418;
P17753;Origenes;118590235;1049
P18988;Cyprian;1026798183;
P17899;Eusebius von Caesarea;118531425;919
P18048;Hilarius von Poitiers;118550896;927
P18895;Athanasius von Alexandrien;118504843;938
P18887;Basilius der Grosse (Caesariensis);118637797;1472
P17965;Gregor von Nazianz;118541900;
P18993;Ambrosius von Mailand;11850245X;958
P18454;Didymus der Blinde;118678213;
P17892;Epiphanius von Salamis;118682229;
P4541;Johannes Chrysostomus;118557831;999
P18986;Sophronius Eusebius Hieronymus;118550853;879
P18700;Augustinus von Hippo;118505114;900
P17867;Cyrill von Alexandrien;118523139;
P18346;Theodoret von Kyrrhos;118756796;1266
P18989;Anicius Manlius Severinus Boethius;11851282X;1139
P18489;Papst Gregor I. (der Große);118541838;1165
P18057;Isidor von Sevilla;118555995;1318
P19019;Papias von Hierapolis;102401527;
P18974;Arnobius d.Ä.;118650335;888
P18058;Iulius Firmicus Maternus;118683659;936
P19001;Lucius Caecilius Firmianus Lactantius (Laktanz);118725831;902
P16781;Gaius Marius Victorinus;118577964;922
P21122;Macrobius Ambrosius Theodosius;118640763;14132
P17828;Benedikt von Nursia;118508911;1163
P17752;Clemens von Alexandrien;118563122;
P21116;Dionysius von Alexandria (Bischof);118525905;894
P4867;Claudius Gordianus Fulgentius;118536834;1153
P17933;Gennadius von Marseille;100942261;998
P19886;Novatian;118786474;881
P19409;Quodvultdeus Carthaginiensis;118968289;1050
P18889;Rufinus von Aquileia;118750313;1000
P19014;Salamanes Hermeias Sozomenos;118798162;20464
P18343;Sulpicius Severus;118757806;
P20001;Tatian;11864310X;
P18357;Thomas von Aquin;118622110;12129
